2017-12-05T11:17:15.471+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.471+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.471+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.471+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.472+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.472+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.472+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.472+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.472+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.473+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.473+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.473+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.473+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.474+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.474+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.474+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.474+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.474+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
